,GEOID,county,hhincome,pct_pov,review_count,avg_rating,pop,avg_price,pct_white,hhincome_log,review_count_log,pct_pov_log,yelp_n
1,13063040202,Clayton County,33276,0.201342282,57,2,2850,1,0.075087719,10.41289217,4.060443011,-1.554276271,1
2,13063040308,Clayton County,28422,0.210718002,13,3,4262,1,0.260675739,10.25527055,1.975621859,-1.510869401,2
3,13063040407,Clayton County,49271,0.108255067,29.33333333,2,4046,1,0.20514088,10.80529389,3.320836964,-2.134911405,3
4,13063040408,Clayton County,44551,0.180956612,20,4,8489,1,0.168688892,10.70461432,3.044522438,-1.65570904,1
5,13063040410,Clayton County,49719,0.114680192,41,1,7166,1,0.193692437,10.81434354,3.737669618,-2.082003287,1
6,13063040411,Clayton County,57924,0.090689421,18,2,13311,1,0.165126587,10.96705971,2.944438979,-2.295714541,1
7,13063040412,Clayton County,46530,0.176958408,72,3,7920,1,0.143813131,10.74806744,3.961783573,-1.676869105,3
8,13063040414,Clayton County,40313,0.263539652,31,2,2068,1,0.300290135,10.6046773,3.465247383,-1.296308688,2
9,13063040417,Clayton County,40231,0.26349481,17,2,5850,1,0.107008547,10.60264166,2.890371758,-1.296472635,1
10,13063040510,Clayton County,49265,0.297548387,5,4,3892,1,0.030061665,10.80517213,1.791759469,-1.179122848,1
11,13063040512,Clayton County,41016,0.158646889,36,2,5552,1,0.066282421,10.62196129,3.306020517,-1.779948167,2
12,13063040513,Clayton County,63980,0.141615986,14,2,4604,1,0.119026933,11.0664821,2.708050201,-1.886404362,1
13,13063040523,Clayton County,41688,0.163203753,4,2,2984,1,0.110924933,10.63820845,1.609437912,-1.753286612,1
14,13063040526,Clayton County,54334,0.216541566,19,2,7061,1,0.10055233,10.90308949,2.995732274,-1.484826835,1
15,13063040606,Clayton County,45800,0.097895089,18,1,3894,1,0.453775039,10.73225769,2.944438979,-2.226595926,1
16,13063040608,Clayton County,68047,0.112143928,55,1,13393,1,0.121929366,11.12810087,4.025351691,-2.102555192,1
17,13063040609,Clayton County,58750,0.063359235,34,2,6698,1,0.178262168,10.98121663,3.555348061,-2.61238688,1
18,13063040611,Clayton County,40995,0.261313869,26,2,6850,1,0.214306569,10.62144929,3.295836866,-1.304478942,1
19,13063040612,Clayton County,34517,0.300434713,50,4,7938,1,0.209120685,10.44949691,3.931825633,-1.169781665,1
20,13063040617,Clayton County,33359,0.273890143,43,2,1329,1,0.679458239,10.4153826,3.784189634,-1.259167936,1
21,13063040622,Clayton County,51672,0.267144942,1,4,8224,1,0.199659533,10.85286484,0.693147181,-1.283214655,1
22,13067030101,Cobb County,89819,0.119295132,21.5,2,7908,1,0.877718766,11.40566314,3.069942276,-2.045657644,2
